Fecha;# Factura;Descripcion / Rubro;Monto en Bs;Tasa BCV;Soporte
29/6/2026;256034;ENCENDEDORES;6.853,04Bs;623,02;https://drive.google.com/file/d/1YMEovKSzC08VBW1FBsNKBDu7TWSlcq7T/view?usp=drive_link
29/6/2026;75463;MEDICAMENTOS;13.580,70Bs;623,02;https://drive.google.com/file/d/1if6a22uJ8rT6V3GxYqjkjek1JmlUJng9/view?usp=drive_link
29/6/2026;180;VERDURAS SOPA;16.273,80Bs;623,02;https://drive.google.com/file/d/1I6Pv4axBTHOHI8cz3dtUdvsv0Qif9DU8/view?usp=drive_link
29/6/2026;T61801752056;RECARGA ALEXANDRA;1.800,00Bs;623,02;https://drive.google.com/file/d/1C6lsI4PChWZjKBgC9jXcf1Qw2ayqUGJI/view?usp=drive_link
29/6/2026;S/N;DESECHABLES;8.560,00Bs;623,02;https://drive.google.com/file/d/149tNgPXSZtQvMEFG8Ic4jwuduJsBHYaP/view?usp=drive_link
29/6/2026;31124;ALIMENTOS VARIOS;82.327,01Bs;623,02;https://drive.google.com/file/d/1RNhEMUzoN4qp-kBFJPz6mEC8-sPturLQ/view?usp=drive_link
29/6/2026;256222;BOLSAS PLASTICAS;3.083,97Bs;623,02;https://drive.google.com/file/d/1tar4ZbS3SBJqUY1oRU2fjgAPoQIyUmf0/view?usp=drive_link
29/6/2026;256223;BOLSAS PLASTICAS;3.302,03Bs;623,02;https://drive.google.com/file/d/1KhQOeOVx09HzkYPILEABQxN694GlXvQD/view?usp=drive_link
30/6/2026;66248;HORTALIZAS COMIDAS H. DOM. LUCIANI;25.105,00Bs;623,02;https://drive.google.com/file/d/1FVWl8RCUIQnEN269r4gwihQEAmGHjAG_/view?usp=drive_link
30/6/2026;66250;AJO COMIDAS H. DOM. LUCIANI;7.560,00Bs;623,02;https://drive.google.com/file/d/18dva7CbRnRfFasxA8a6fRBCSKqnI97GT/view?usp=drive_link
30/6/2026;222861;MEDICAMENTOS;24.961,71Bs;623,02;https://drive.google.com/file/d/1Dq8mSPFy9xmlFGQKXtzZPUW3D-3d20zk/view?usp=drive_link
30/6/2026;200552;BOLSAS PLASTICAS;13.394,95Bs;623,02;https://drive.google.com/file/d/1MKzOyXM72jNVPHgULiSr-2SKPRxSNfgj/view?usp=drive_link
30/6/2026;1;4 colchonetas;144.000,00Bs;623,02;https://drive.google.com/file/d/1k35NDsmriGH3GSeeiC5uJ2zwOddA6oXK/view?usp=drive_link
30/6/2026;77582;ACEITE CARR ANTONY COLINA;8.410,80Bs;623,02;https://drive.google.com/file/d/1JS_qJf1poWb8GB-wb8O6IttQ5CPu0U0j/view?usp=drive_link
30/6/2026;181881;MEDICAMENTOS;33.751,52Bs;623,02;https://drive.google.com/file/d/1aV7xpasam-sDNegQF9EkCog03cPanW_4/view?usp=drive_link
30/6/2026;52253;GASOLINA RONALD MIJARES;12.500,00Bs;623,02;https://drive.google.com/file/d/1_jhrLC0JQgjXdUvFqCwzbG5Oud7HPazU/view?usp=drive_link
1/7/2026;50463;ALIMENTOS VARIOS;218.017,36Bs;633,36;https://drive.google.com/file/d/1mdDdkrZ0F3xRx58tKm9sBH0bN6bAAenE/view?usp=drive_link
1/7/2026;T25721652360;SALDO ANDRY;1.500,00Bs;633,36;https://drive.google.com/file/d/1bd1es5V23IBxCbehtoIZNg_jjuaOSC6B/view?usp=drive_link
1/7/2026;T61826261430;SALDO YENILETH;1.800,00Bs;633,36;https://drive.google.com/file/d/1mPHaFBE6R4eZnFKIkGkqvxYBR6UOUSYx/view?usp=drive_link
1/7/2026;22656;TOALLA SUPER ABSORBENTE;100.039,76Bs;633,36;https://drive.google.com/file/d/1ZGFjpJpyK4Zcw2-VmJlAwxECkMwEcT-i/view?usp=drive_link
1/7/2026;"A0VPU5CC
E2NHRS66O
BFX76I58Y";COLCHONETAS ABONO 50%;1.013.376,00Bs;633,36;https://drive.google.com/file/d/1zHRxO4AA3axDDD3eCLHvl0m5LxOj2U_a/view?usp=drive_link
1/7/2026;61828104066;TRASLADO DANIEL;5.700,00Bs;633,36;https://drive.google.com/file/d/1p0YvlKDdNYky8GY4By_lJRzD4UKL0v0g/view?usp=drive_link
